pdb,chain,name,L,resolution,n_pairs,split
6cii,A,6cii_A,124,1.70,362,val
2vga,A,2vga_A,194,1.90,583,train
4mid,A,4mid_A,105,2.14,281,train
2j4x,A,2j4x_A,197,1.95,653,train
7o0b,A,7o0b_A,104,2.13,311,train
3i5w,A,3i5w_A,32,1.63,74,train
5j0i,A,5j0i_A,73,2.20,185,train
2dfb,A,2dfb_A,190,1.11,676,train
5rk3,A,5rk3_A,119,1.31,357,test
5ouz,A,5ouz_A,178,2.08,570,train
5qp7,A,5qp7_A,149,1.88,446,train
4eza,A,4eza_A,94,1.50,271,train
2xs2,A,2xs2_A,88,1.35,217,test
5vmn,A,5vmn_A,125,1.65,359,train
9hef,A,9hef_A,116,1.83,342,train
7s4r,A,7s4r_A,56,2.10,155,train
1wfb,A,1wfb_A,38,1.50,94,train
3q2c,A,3q2c_A,96,2.50,283,train
2d59,A,2d59_A,141,1.65,462,train
5mqh,A,5mqh_A,228,2.45,677,train
7hmt,B,7hmt_B,185,1.28,600,train
2b3m,A,2b3m_A,154,1.85,457,train
2hdv,A,2hdv_A,103,2.00,298,test
4nuh,A,4nuh_A,216,1.34,734,test
5n1z,A,5n1z_A,123,1.81,342,train
8tfi,A,8tfi_A,177,1.97,595,train
3q7y,A,3q7y_A,124,1.45,398,train
3akn,A,3akn_A,130,1.60,412,train
3o1x,A,3o1x_A,115,1.08,326,train
2brf,A,2brf_A,100,1.40,315,train
7k68,A,7k68_A,163,1.45,470,train
4u6a,A,4u6a_A,205,2.37,665,train
3cxp,A,3cxp_A,184,2.01,510,train
2nwv,A,2nwv_A,112,1.85,325,train
2vb3,X,2vb3_X,76,2.33,216,train
7usk,A,7usk_A,108,1.22,310,train
6z6z,A,6z6z_A,172,1.78,550,val
9b4q,A,9b4q_A,168,1.46,553,train
7wfs,A,7wfs_A,97,1.40,273,train
4nui,A,4nui_A,193,1.70,684,train
6u1b,A,6u1b_A,221,2.08,804,train
1zyw,A,1zyw_A,66,1.30,206,train
1lf7,A,1lf7_A,164,1.20,485,train
8qv1,A,8qv1_A,217,2.20,658,train
2hlq,A,2hlq_A,100,1.45,284,train
2apx,A,2apx_A,109,1.80,370,test
8f43,A,8f43_A,109,1.37,354,test
2g1m,A,2g1m_A,211,2.20,701,train
1bgf,A,1bgf_A,124,1.45,369,train
3e0e,A,3e0e_A,91,1.60,272,train
6xbr,A,6xbr_A,144,1.55,448,train
3kug,A,3kug_A,158,2.00,489,test
3aka,A,3aka_A,162,1.80,506,train
9f4q,A,9f4q_A,165,1.40,506,test
3flj,A,3flj_A,141,2.00,438,train
7pqi,A,7pqi_A,198,1.90,653,train
3ghj,A,3ghj_A,116,1.47,339,train
1zuy,A,1zuy_A,58,1.39,164,val
9hx8,A,9hx8_A,80,2.00,245,train
6ufv,A,6ufv_A,149,1.06,472,train
3m1e,A,3m1e_A,87,1.80,249,train
3ljm,A,3ljm_A,31,1.36,59,train
4efo,A,4efo_A,89,1.77,240,train
3ep0,A,3ep0_A,113,2.10,338,train
3hev,A,3hev_A,31,2.00,61,val
2o2g,A,2o2g_A,216,1.92,738,train
1k34,A,1k34_A,60,1.88,142,train
3vnb,A,3vnb_A,149,1.50,464,val
2yxs,A,2yxs_A,150,2.13,471,test
8gn4,A,8gn4_A,53,1.90,109,val
8qib,A,8qib_A,109,2.45,306,train
9hcp,A,9hcp_A,205,1.70,619,train
3ffo,A,3ffo_A,176,2.10,599,train
1rcd,A,1rcd_A,171,2.00,578,train
5qhe,A,5qhe_A,186,1.74,554,train
7ygk,A,7ygk_A,112,1.24,355,train
5yl6,A,5yl6_A,184,2.00,586,train
3rvc,A,3rvc_A,118,1.80,357,train
1nz6,A,1nz6_A,98,2.50,302,train
2o6w,A,2o6w_A,147,2.40,451,train
4wn3,A,4wn3_A,220,1.80,689,train
2qcq,A,2qcq_A,107,2.21,287,train
4bcy,A,4bcy_A,146,1.27,477,train
1j1y,A,1j1y_A,116,1.70,367,train
4o7k,A,4o7k_A,190,1.75,607,train
5fx0,A,5fx0_A,98,2.30,274,train
8t5l,B,8t5l_B,177,2.01,547,train
5r4w,A,5r4w_A,130,1.47,383,val
7p3h,A,7p3h_A,38,2.10,72,val
1mgw,A,1mgw_A,99,2.00,265,val
2vup,A,2vup_A,164,2.10,544,test
4qaz,A,4qaz_A,95,1.98,268,train
4p2j,A,4p2j_A,117,2.40,337,val
5hrv,A,5hrv_A,115,1.70,333,train
1i05,A,1i05_A,156,2.00,487,train
2ygn,A,2ygn_A,146,1.85,424,train
6udt,A,6udt_A,155,1.50,505,train
1nxw,A,1nxw_A,118,1.92,373,train
5dko,A,5dko_A,245,2.40,749,train
7z6w,A,7z6w_A,188,1.84,537,train
6lfq,A,6lfq_A,169,2.36,537,train
7wjt,A,7wjt_A,55,2.30,116,train
1wd1,A,1wd1_A,64,2.20,169,train
6i25,A,6i25_A,135,1.97,396,train
1vct,A,1vct_A,193,1.85,619,train
3rmq,A,3rmq_A,111,1.85,328,train
5jnr,A,5jnr_A,154,2.00,518,train
5yjp,A,5yjp_A,220,1.80,741,train
4rxy,A,4rxy_A,209,1.90,639,train
8gbe,A,8gbe_A,205,1.46,675,train
1mdc,A,1mdc_A,132,1.75,374,test
1akw,A,1akw_A,147,1.75,460,train
5mba,A,5mba_A,147,1.90,464,train
7ibg,A,7ibg_A,113,1.88,350,train
1ihz,A,1ihz_A,136,1.65,453,train
6x3k,A,6x3k_A,203,2.50,610,train
1i2h,A,1i2h_A,138,1.80,355,train
2yd8,A,2yd8_A,198,2.05,578,train
5suz,A,5suz_A,95,1.84,180,train
3kzz,A,3kzz_A,158,1.89,509,val
9pqf,A,9pqf_A,113,1.80,346,train
9vis,A,9vis_A,185,1.85,570,train
7c0g,A,7c0g_A,72,2.40,198,train
7nq0,AAA,7nq0_AAA,113,1.30,318,train
3f7s,A,3f7s_A,142,2.11,410,test
8v9z,A,8v9z_A,113,1.60,332,val
8gdu,A,8gdu_A,184,2.01,616,train
3cs5,A,3cs5_A,48,2.20,99,train
7nfi,A,7nfi_A,31,1.42,55,train
1jug,A,1jug_A,125,1.90,409,train
3uv0,A,3uv0_A,97,1.90,287,train
5nn7,A,5nn7_A,233,2.50,764,train
4bxq,A,4bxq_A,171,1.90,442,train
3dcz,A,3dcz_A,171,1.65,559,val
8i64,A,8i64_A,224,2.26,740,train
7auu,A,7auu_A,144,2.45,453,train
5hu4,A,5hu4_A,145,2.30,454,train
3r33,A,3r33_A,159,2.09,488,train
6og0,A,6og0_A,116,1.85,330,train
8ame,A,8ame_A,66,1.90,192,train
1lmh,A,1lmh_A,184,1.90,587,test
6gtp,A,6gtp_A,180,2.50,517,train
3ovo,A,3ovo_A,56,1.55,135,test
6a8w,A,6a8w_A,131,1.84,401,train
5fd7,A,5fd7_A,123,2.40,319,train
2rjl,A,2rjl_A,141,2.05,437,train
6isa,A,6isa_A,222,2.00,663,train
1gu3,A,1gu3_A,142,2.30,432,train
6l1i,B,6l1i_B,68,1.85,189,train
4n04,A,4n04_A,111,2.49,309,train
6fpd,A,6fpd_A,191,2.50,608,test
2awx,A,2awx_A,92,1.80,271,train
2pxl,A,2pxl_A,69,2.50,200,train
5h0m,A,5h0m_A,92,1.52,261,train
6pya,A,6pya_A,175,1.71,548,train
2e59,A,2e59_A,144,2.21,416,train
3emm,A,3emm_A,153,1.36,488,train
6h87,A,6h87_A,91,1.50,269,test
7a2o,A,7a2o_A,60,0.94,157,train
3hog,A,3hog_A,127,1.85,399,train
2oa5,A,2oa5_A,92,2.10,232,train
1ppa,A,1ppa_A,121,2.00,387,train
4dwf,A,4dwf_A,79,1.80,220,val
1m1u,A,1m1u_A,184,2.30,642,train
9wex,A,9wex_A,118,1.52,329,test
2b8y,A,2b8y_A,129,1.80,401,train
8wp6,A,8wp6_A,185,1.87,574,train
9jzs,A,9jzs_A,147,1.91,477,train
9udy,A,9udy_A,156,1.51,463,train
7tl2,A,7tl2_A,184,1.53,604,train
2r18,A,2r18_A,129,2.30,355,train
7qfu,A,7qfu_A,162,1.45,534,val
5ygc,A,5ygc_A,202,2.00,628,train
1mwp,A,1mwp_A,96,1.80,285,train
2gw8,A,2gw8_A,99,1.85,260,train
4aax,A,4aax_A,140,1.90,472,train
6vcn,A,6vcn_A,157,1.90,485,train
5ycx,A,5ycx_A,229,1.70,746,test
3exq,A,3exq_A,159,2.00,420,train
2xsd,C,2xsd_C,128,2.05,382,val
1qog,A,1qog_A,98,1.80,299,train
9voc,A,9voc_A,172,2.20,542,train
3pzy,A,3pzy_A,150,1.80,473,train
1g79,A,1g79_A,199,2.00,599,train
4k82,A,4k82_A,205,1.60,633,train
3jv1,A,3jv1_A,182,2.00,521,train
7r8z,A,7r8z_A,222,2.30,717,test
3dj9,A,3dj9_A,107,1.75,296,train
3zeb,A,3zeb_A,179,2.20,618,test
1jwq,A,1jwq_A,179,1.80,637,train
7qf5,AAA,7qf5_AAA,116,1.37,340,val
5ax2,A,5ax2_A,78,2.40,208,val
3ny1,A,3ny1_A,73,2.08,209,train
8g44,A,8g44_A,99,1.55,295,train
6duw,A,6duw_A,192,2.20,594,train
9qfs,A,9qfs_A,128,1.33,415,train
3i42,A,3i42_A,118,2.15,355,test
5qs7,A,5qs7_A,171,1.66,510,train
3i87,A,3i87_A,209,2.30,677,train
1tjd,A,1tjd_A,216,2.50,659,train
5aiz,A,5aiz_A,110,1.70,348,train
5ai3,A,5ai3_A,54,1.02,172,train
4ld6,A,4ld6_A,117,1.70,357,train
7umv,A,7umv_A,150,1.80,503,train
2f5c,A,2f5c_A,140,2.40,417,train
4fzp,A,4fzp_A,81,1.29,240,train
5ect,A,5ect_A,146,1.30,357,train
4ksm,A,4ksm_A,216,2.40,735,train
6ng9,A,6ng9_A,117,1.95,334,test
2bm6,A,2bm6_A,179,2.20,579,train
1m8u,A,1m8u_A,173,1.65,593,train
5bxg,A,5bxg_A,151,1.90,458,train
1ecy,A,1ecy_A,142,2.19,348,train
5h9n,A,5h9n_A,154,1.28,455,train
9v56,A,9v56_A,220,1.94,778,test
3rhe,A,3rhe_A,114,2.05,345,train
1tlq,A,1tlq_A,161,2.40,544,train
7sfp,A,7sfp_A,151,2.20,445,train
5f6v,A,5f6v_A,156,1.49,502,train
2fj1,A,2fj1_A,207,2.20,613,train
1paq,A,1paq_A,161,2.30,564,train
7ds0,A,7ds0_A,181,1.69,597,train
9kyi,A,9kyi_A,157,1.55,501,train
4kju,A,4kju_A,82,1.60,238,val
4ltu,A,4ltu_A,106,2.31,311,train
8t98,A,8t98_A,135,1.30,417,train
2z84,A,2z84_A,210,1.70,698,train
4myy,A,4myy_A,79,1.68,190,val
4o1k,A,4o1k_A,211,1.83,623,train
2b1k,A,2b1k_A,149,1.90,491,train
4jwl,A,4jwl_A,194,1.95,623,train
1zk9,A,1zk9_A,110,2.18,149,train
3q0w,A,3q0w_A,193,1.60,622,train
3lwk,A,3lwk_A,182,1.70,625,train
1cfb,A,1cfb_A,205,2.00,645,train
1j3e,A,1j3e_A,115,2.50,354,train
4ofe,A,4ofe_A,142,2.15,469,train
1nqn,A,1nqn_A,118,1.80,330,val
7osu,A,7osu_A,183,1.37,588,test
5xhw,A,5xhw_A,225,2.00,725,train
7e4j,A,7e4j_A,44,1.63,75,train
3trw,A,3trw_A,34,2.10,82,train
1rtt,A,1rtt_A,174,1.28,555,train
1mb0,A,1mb0_A,107,2.00,339,train
6asd,C,6asd_C,45,1.85,83,train
4gb5,A,4gb5_A,148,1.55,454,val
6j9r,A,6j9r_A,125,2.50,310,train
4v1p,A,4v1p_A,188,2.04,609,train
9f5b,A,9f5b_A,166,1.80,464,train
4m02,A,4m02_A,169,1.59,477,test
3d2w,A,3d2w_A,72,1.65,205,train
6jjs,A,6jjs_A,130,1.62,372,val
4ps6,A,4ps6_A,130,1.25,386,val
7yhr,A,7yhr_A,59,1.45,157,train
7uqn,A,7uqn_A,148,1.70,423,train
4lpl,A,4lpl_A,142,1.35,458,train
2y6l,A,2y6l_A,167,1.28,564,train
2pfc,A,2pfc_A,160,2.30,535,train
1hcv,A,1hcv_A,116,1.85,366,train
2znr,A,2znr_A,178,1.20,552,train
1w2i,A,1w2i_A,90,1.50,286,train
1yul,A,1yul_A,210,2.00,649,train
4rza,A,4rza_A,179,1.90,576,test
4dpc,X,4dpc_X,99,1.06,309,train
2fvx,A,2fvx_A,138,1.80,445,test
5wuf,A,5wuf_A,195,2.40,667,train
5i5c,A,5i5c_A,35,1.30,94,val
6lcq,A,6lcq_A,54,1.62,141,train
3f3b,A,3f3b_A,115,2.50,295,train
8pf0,A,8pf0_A,153,2.20,402,train
4z04,A,4z04_A,124,1.45,382,train
1v8u,A,1v8u_A,154,1.90,469,train
1rds,A,1rds_A,105,1.80,317,train
4quc,A,4quc_A,56,1.50,136,train
9t2z,A,9t2z_A,208,1.87,586,train
2qim,A,2qim_A,157,1.35,456,train
6p0w,A,6p0w_A,201,2.40,633,train
5r8b,A,5r8b_A,152,1.49,473,test
2bm3,A,2bm3_A,162,1.80,515,train
3a1f,A,3a1f_A,163,2.00,505,train
3syx,A,3syx_A,118,2.45,355,val
9wh6,A,9wh6_A,108,2.00,335,train
3lh4,A,3lh4_A,115,1.80,326,train
3aps,A,3aps_A,114,1.90,357,val
3h0n,A,3h0n_A,184,1.45,557,train
7cv2,A,7cv2_A,173,1.80,480,train
4rqm,A,4rqm_A,63,1.75,160,test
5h6x,A,5h6x_A,94,1.60,284,train
4bou,A,4bou_A,141,1.55,436,train
1rb9,A,1rb9_A,52,0.92,141,val
5gt1,A,5gt1_A,153,1.85,518,train
3dou,A,3dou_A,175,1.45,590,train
1zx6,A,1zx6_A,56,1.60,153,train
3omt,A,3omt_A,68,1.65,176,train
7u4z,A,7u4z_A,153,2.03,467,train
4mac,A,4mac_A,82,2.00,238,test
5r4g,A,5r4g_A,119,1.25,344,train
8ox3,A,8ox3_A,113,1.05,354,train
6ky8,A,6ky8_A,148,2.30,428,train
3ra0,A,3ra0_A,161,2.45,459,train
6oln,A,6oln_A,30,2.50,57,test
2fz4,A,2fz4_A,206,2.40,663,test
4dh4,A,4dh4_A,114,1.82,330,train
3vwe,A,3vwe_A,186,1.96,560,test
3guv,A,3guv_A,149,2.20,447,train
2z1c,A,2z1c_A,71,1.80,189,test
6py5,A,6py5_A,227,1.90,715,train
1e86,A,1e86_A,126,1.95,372,train
3ff4,A,3ff4_A,121,2.10,379,train
8wpt,A,8wpt_A,159,2.36,516,test
3mdf,A,3mdf_A,83,1.85,231,val
5b52,A,5b52_A,57,2.30,121,train
8g5e,A,8g5e_A,211,1.98,670,train
3so8,A,3so8_A,162,1.90,500,test
6nmw,A,6nmw_A,63,1.20,178,train
6dyr,A,6dyr_A,213,2.45,721,train
2iji,A,2iji_A,56,2.30,144,train
1o4r,A,1o4r_A,105,1.50,303,train
4w6l,A,4w6l_A,205,2.45,685,train
6l7q,A,6l7q_A,145,1.16,464,train
5zhc,A,5zhc_A,102,1.97,280,val
5uui,A,5uui_A,134,1.40,404,train
4e16,A,4e16_A,229,2.49,727,test
8b1o,A,8b1o_A,238,1.75,753,train
9x64,A,9x64_A,55,1.83,148,train
9mrb,A,9mrb_A,141,2.00,466,train
4jcg,A,4jcg_A,81,1.63,224,train
2qvg,A,2qvg_A,129,1.50,391,train
6wdp,A,6wdp_A,212,2.01,633,train
5gv0,A,5gv0_A,162,1.50,491,train
1sdi,A,1sdi_A,213,1.65,710,train
3w90,A,3w90_A,198,1.65,613,val
1g0x,A,1g0x_A,192,2.10,609,train
2fls,A,2fls_A,101,2.05,304,train
2pst,X,2pst_X,61,1.80,156,train
4fit,A,4fit_A,126,2.50,412,train
1vsk,A,1vsk_A,146,2.20,468,train
7z1q,A,7z1q_A,191,1.68,605,train
3k6n,A,3k6n_A,175,2.00,496,train
5wx9,A,5wx9_A,131,1.76,269,train
3ehx,A,3ehx_A,158,1.90,473,train
6h8z,A,6h8z_A,219,1.60,702,test
7dio,A,7dio_A,107,1.90,329,train
2imt,A,2imt_A,163,1.49,567,train
2o38,A,2o38_A,89,1.83,211,train
2z0x,A,2z0x_A,157,1.64,514,test
7vki,A,7vki_A,113,1.65,333,train
7e2k,A,7e2k_A,128,2.04,359,val
6l6o,A,6l6o_A,165,1.80,522,test
3ol3,A,3ol3_A,98,1.95,264,train
2j06,A,2j06_A,62,1.80,174,train
5hxl,A,5hxl_A,123,1.97,341,train
2nlg,A,2nlg_A,36,1.65,93,train
2rhd,A,2rhd_A,164,2.06,513,train
2yxb,A,2yxb_A,139,1.80,434,test
2p25,A,2p25_A,126,1.70,326,train
6yv6,A,6yv6_A,200,1.36,719,train
2odu,A,2odu_A,217,2.30,697,test
8jvx,A,8jvx_A,37,1.80,44,train
6gza,A,6gza_A,87,1.89,255,train
1o6a,A,1o6a_A,87,1.85,169,train
3uqa,A,3uqa_A,190,1.55,578,train
1pc5,A,1pc5_A,106,1.80,327,train
1yv4,A,1yv4_A,104,1.51,334,train
1w53,A,1w53_A,84,1.60,238,train
1lr9,A,1lr9_A,73,2.50,176,train
5sbm,A,5sbm_A,150,1.14,490,test
7pon,A,7pon_A,55,2.10,124,train
1v05,A,1v05_A,96,1.43,279,train
1im4,A,1im4_A,205,2.30,653,train
2bkf,A,2bkf_A,86,1.56,251,val
1w7z,A,1w7z_A,31,1.67,67,train
2knt,A,2knt_A,58,1.20,148,train
2q6q,A,2q6q_A,62,1.97,136,train
2cx6,A,2cx6_A,90,2.43,260,train
9m46,A,9m46_A,53,1.77,116,train
2xkl,A,2xkl_A,149,2.50,458,train
2uux,A,2uux_A,55,1.40,124,train
6ljr,A,6ljr_A,140,2.00,439,test
6wko,A,6wko_A,90,2.40,202,train
3s9x,A,3s9x_A,159,1.35,499,train
5b60,A,5b60_A,221,2.20,748,train
3kpx,A,3kpx_A,189,1.90,640,train
2v8e,A,2v8e_A,187,2.50,505,train
3ml3,A,3ml3_A,156,2.00,508,train
2hbo,A,2hbo_A,142,1.85,456,train
6cb6,A,6cb6_A,118,1.80,388,train
3l78,A,3l78_A,117,1.90,353,train
9vyy,A,9vyy_A,98,1.45,295,train
3fyb,A,3fyb_A,98,1.80,254,train
2xtc,A,2xtc_A,74,2.22,160,train
1ep0,A,1ep0_A,183,1.50,589,test
3dwh,A,3dwh_A,193,1.95,622,train
2x3g,A,2x3g_A,116,1.80,345,train
2bzv,A,2bzv_A,148,1.15,474,train
3qmc,A,3qmc_A,53,2.10,128,train
1w9g,A,1w9g_A,103,2.00,273,train
4lwm,A,4lwm_A,205,1.80,696,train
1zld,A,1zld_A,103,1.65,311,train
1qhx,A,1qhx_A,178,2.50,556,train
6dxh,A,6dxh_A,117,2.00,344,train
3mah,A,3mah_A,139,2.31,419,train
1kcq,A,1kcq_A,104,1.65,328,train
6gol,A,6gol_A,65,1.70,158,train
1rlw,A,1rlw_A,126,2.40,406,train
5mrn,A,5mrn_A,214,2.00,671,train
1mw7,A,1mw7_A,220,2.00,689,train
7bwl,A,7bwl_A,168,2.25,502,train
2d36,A,2d36_A,154,2.30,453,train
6ibj,A,6ibj_A,150,2.10,461,train
8uos,A,8uos_A,58,1.96,164,train
1yu9,A,1yu9_A,175,2.07,561,train
8wwr,A,8wwr_A,87,1.75,232,train
9fl3,A,9fl3_A,98,2.07,211,val
1v2x,A,1v2x_A,191,1.50,605,train
22iy,A,22iy_A,161,1.65,497,train
3b7h,A,3b7h_A,76,2.00,198,train
3kbf,A,3kbf_A,156,1.30,510,train
1zia,A,1zia_A,124,1.54,391,test
4inx,A,4inx_A,140,1.85,438,train
1oee,A,1oee_A,185,2.10,571,train
2zcx,A,2zcx_A,205,2.22,668,val
3wwv,A,3wwv_A,64,2.40,189,train
8anu,C,8anu_C,67,2.31,129,train
8h7d,A,8h7d_A,90,2.20,242,train
6icr,A,6icr_A,42,2.04,87,test
1eq6,A,1eq6_A,189,1.90,582,train
5o5s,A,5o5s_A,123,1.17,380,train
7nwp,AAA,7nwp_AAA,195,2.16,627,train
2czt,A,2czt_A,155,2.00,463,train
2qff,A,2qff_A,74,1.80,230,train
6jvy,A,6jvy_A,86,2.00,252,train
4h8p,A,4h8p_A,118,2.05,336,train
1j8e,A,1j8e_A,44,1.85,102,val
2yyw,A,2yyw_A,107,1.33,233,val
1hyb,A,1hyb_A,161,2.00,520,train
8bxw,AAA,8bxw_AAA,123,1.30,388,train
5jug,A,5jug_A,168,0.96,562,val
1qoa,A,1qoa_A,98,1.70,297,train
4hvy,A,4hvy_A,135,1.46,433,test
5c3t,A,5c3t_A,126,1.80,372,test
2hrx,A,2hrx_A,191,1.90,606,train
2odm,A,2odm_A,79,2.24,218,train
4goc,A,4goc_A,76,2.40,197,train
5uvr,A,5uvr_A,98,1.70,256,train
9lqm,A,9lqm_A,81,1.39,228,train
3n9d,A,3n9d_A,148,2.30,488,val
7avc,AAA,7avc_AAA,143,1.20,430,test
7blk,A,7blk_A,142,1.06,478,train
5my3,A,5my3_A,206,2.19,655,train
1s2x,A,1s2x_A,180,1.90,593,train
1pw3,A,1pw3_A,111,1.90,347,train
3exv,A,3exv_A,197,1.45,646,val
2au9,A,2au9_A,175,1.30,590,train
2nnc,A,2nnc_A,110,2.14,326,train
4gsp,A,4gsp_A,104,1.65,284,train
5kc5,A,5kc5_A,137,2.35,428,train
7xe5,A,7xe5_A,164,1.30,538,train
3guq,A,3guq_A,142,2.47,415,train
